USER_UUID,'83d91a0a-6a92-47f5-9eed-ae26a594a647','0367c168-ac79-4dc7-84c4-d44b653ba68e','259ebe96-71cd-4e3f-a14c-0e174ffcbcec','d6b6769d-b02e-4ca7-9702-1e390006d293','9083f6c2-b037-488e-9096-194b209b5805','c88d205a-7ddc-4b1b-8ea4-87e717b25230','31c97060-5518-4180-b74b-100f54e24ab1','8ca3be93-7f70-45e5-a735-e4a2bda881c7','3e00cf89-d570-439a-919d-9fce068c9fc5','9280a25f-35a1-44e1-9272-c6becb96c0ba','b76b6589-4e8a-4c5c-961a-2d50a28aa034','1fa2b1a3-1a6e-470f-ad67-80e9ca5a8ce2','75eb0a77-6e3b-492c-81bd-791cf41aa09d','0fb977dd-8faf-4be7-9add-d043b747b945','0bc2b687-560f-4fbf-ab1e-35b76e545c43','9319c616-2822-4971-875a-837dd5ae6653','bcf492fd-1197-468b-b486-41e00f324d43','682d3673-2e82-4dd1-8dee-b8fe1394f74e','720a4f66-0e7f-472a-a90f-8a2b9063b629','a977416d-b2a5-4971-a914-99bfe854aadb','1af17e73-fd96-4722-b32b-336c903b9211','fad894b3-179a-470a-b340-f744cebcffb3','3b63aad5-6742-43a3-a68e-8e9bb5833de1','3bc9df3c-694a-4562-a8a8-445730340eed','05cbacf9-1988-4b9a-bc63-3f6442a2500d','9752bba4-7ce3-4c1a-9c1e-254cb386b0fb','e83c391b-c935-4a1b-a5d1-f18a7a9ae200','e22d4f28-5254-4e17-8256-a2252457d4dc','296694ca-df57-4bc4-9a0c-f7a72a59a65e','9c649911-7040-4868-8d17-2409d52d512a','e7f7fba6-02c0-4df6-8f19-ffd6625d8d14','c5e8972c-fa66-49d6-b266-e2bf8958a65a','1fad83c2-fc73-427d-99af-c1f732159e5d'
3e1bc697-8d79-4656-a5fb-a5eba562c355,,1.0,1.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,
438a2884-1986-47fd-bdbe-d3a821967a0e,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,1.0,
48359567-6d13-4492-b78a-6b7a5bef7317,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,,0.0
4e90b672-3120-4736-9176-1ddf56a68c5b,0.0,,1.0,1.0,0.0,1.0,,,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,,,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,0.0
50c7f567-ddf6-4786-b86c-102dd377aba6,0.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0
51f980ca-d8ba-4d2d-9f4e-59f4735bc564,,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,0.0,1.0,,1.0,0.0,0.0,,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5e31fbeb-0cc5-41eb-a369-8f85b8819a00,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,,1.0,0.0,
61a2aba1-1ca1-4b2f-985e-75476d2e7b8e,,0.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,,0.0,0.0
61e0a084-a050-4ca8-9bf7-109cc41754f9,1.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,1.0,1.0,,0.0,0.0,,1.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
6f6f8bc7-2e3b-4d4c-9ad8-622ef5e51af0,0.0,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
7475cf16-81b6-4900-a365-165d3fbe9981,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,1.0,1.0,0.0,,,0.0,1.0,,1.0,1.0,1.0,,0.0,0.0,
798b1667-f928-4127-bd58-37353d99fab6,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0
7d0cb8a9-adc1-4f3a-abf6-e70f1a067657,0.0,0.0,,,1.0,,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
7e79df4b-557e-4d4a-b540-08259ee02647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,,0.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,
7f9362ad-b055-40a9-aa19-5125ee976975,0.0,1.0,1.0,,0.0,1.0,0.0,,1.0,,,,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,0.0,,,1.0,,0.0,1.0,0.0,1.0,0.0
82f03c5f-d352-40f6-932a-439b36b9cba2,,1.0,1.0,1.0,0.0,,,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
83c78a7e-97f0-461d-a0aa-d84ff7bbbf95,1.0,,1.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,0.0,,1.0,1.0,0.0,1.0,0.0
83cba40a-9594-4589-8c63-11c6cdd13f3a,1.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,,0.0,
87471bf3-82b7-4e62-b85d-37efe07987b0,0.0,,,,1.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0
8841fc0a-de71-4e36-80ba-d5b176423926,0.0,1.0,1.0,1.0,,0.0,,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,0.0,
887686ce-cf6c-47c6-aa04-7dfc98d6e5e3,0.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
8f3001e1-d7a1-4451-bba2-8d7e87945d59,0.0,,1.0,1.0,,,0.0,1.0,0.0,,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,
924c9188-8e7a-427a-9530-5a188d2471fb,,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,,0.0,1.0,1.0,,0.0,1.0,0.0
94ceb0a7-7082-4ca9-a625-f379744a67d8,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,,1.0,0.0,0.0,,1.0,
9565cf19-847d-4551-92dc-9d4ecb9b8143,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0
97a5c2d3-1cb8-4a39-9aa3-f1f489d087f1,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
97daa540-294c-46c0-89c7-079fcf745d15,0.0,,1.0,,1.0,1.0,,,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,0.0
9ef0ba7f-84a4-48c3-96e5-64be5cdffe04,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,,,0.0,1.0,1.0,,1.0,,
a7f37e26-c6a2-42c1-9ef7-466143d0ee14,,1.0,,1.0,0.0,1.0,,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,0.0
ad1cdc9d-3883-4d33-9813-d95feae85e61,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
aeaaf60c-aa54-4b64-8fe9-42aaf1f61576,0.0,,1.0,,0.0,,,,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0
b08fd9b5-b1bb-4d42-a54c-08c5446945e0,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,
b14da58a-a116-4295-ba2e-99237bb6dae1,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,
b5201346-6f9c-4ca0-b14f-735217a75f5c,0.0,,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,1.0,0.0,,1.0,1.0,,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,1.0,0.0,,1.0,,
c546c1ba-e2e7-4a6a-8d3d-ac56804767ba,,1.0,1.0,0.0,1.0,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0
ca03a483-294b-471f-b8ff-f174058367aa,0.0,,1.0,,0.0,1.0,,1.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0
ca84124e-f233-4ddf-8f61-4e4f36bc1c90,0.0,1.0,1.0,1.0,0.0,,,1.0,1.0,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0
cbb6f50e-639f-44f8-8dff-33b3422d3a60,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,,1.0,,,0.0,0.0,,0.0,0.0,0.0,,,1.0,0.0
dd471996-252d-4fe0-92ac-efcb2dcb79ad,0.0,1.0,1.0,,1.0,,,,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,,0.0,0.0,
e9613e43-7fd7-4957-8268-657661c3b482,,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,,1.0,1.0,1.0,,1.0,,1.0,0.0,1.0,,,0.0,1.0,0.0
f093f10e-7a78-4267-9ab2-7d4319309723,0.0,1.0,1.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
f30a9716-c70a-4bd2-939c-ffa05172f4f4,,0.0,,1.0,0.0,0.0,,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
f9a70a46-45ab-45be-bdd2-2bfa0f0042f2,,0.0,1.0,0.0,1.0,1.0,,,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,0.0,,,1.0,1.0,1.0,,1.0,,0.0
fc258099-deb7-4faf-a481-2bd8d68781a6,0.0,,1.0,1.0,0.0,,0.0,,1.0,,0.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
